"","BO21_tempmean_bdmax","BO21_tempmean_ss","BO22_chlomean_ss","BO22_salinitymean_bdmax","BO22_salinitymean_ss","pa"
"235",8.941594,10.527264,0.832252,32.144138,30.920504,1
"236",NA,NA,NA,NA,NA,1
"237",7.629025,11.265289,0.982404,32.16518,31.45973,1
"238",NA,NA,NA,NA,NA,1
"239",NA,NA,NA,NA,NA,1
"240",NA,NA,NA,NA,NA,1
"241",NA,NA,NA,NA,NA,1
"242",NA,NA,NA,NA,NA,1
"243",NA,NA,NA,NA,NA,1
"244",NA,NA,NA,NA,NA,1
"245",NA,NA,NA,NA,NA,1
"246",NA,NA,NA,NA,NA,1
"247",NA,NA,NA,NA,NA,1
"248",NA,NA,NA,NA,NA,1
"249",7.643984,8.581234,0.883652,31.374762,29.213022,1
"250",NA,NA,NA,NA,NA,1
"251",NA,NA,NA,NA,NA,1
"252",NA,NA,NA,NA,NA,1
"253",NA,NA,NA,NA,NA,1
"254",NA,NA,NA,NA,NA,1
"255",NA,NA,NA,NA,NA,1
"256",NA,NA,NA,NA,NA,1
"257",NA,NA,NA,NA,NA,1
"258",NA,NA,NA,NA,NA,1
"259",NA,NA,NA,NA,NA,1
"260",NA,NA,NA,NA,NA,1
"261",NA,NA,NA,NA,NA,1
"262",NA,NA,NA,NA,NA,1
"263",NA,NA,NA,NA,NA,1
"264",NA,NA,NA,NA,NA,1
"265",NA,NA,NA,NA,NA,1
"266",NA,NA,NA,NA,NA,1
"267",7.643984,8.581234,0.883652,31.374762,29.213022,1
"268",NA,NA,NA,NA,NA,1
"269",NA,NA,NA,NA,NA,1
"270",NA,NA,NA,NA,NA,1
"271",8.266778,10.410165,0.945691,32.158512,30.549959,1
"272",7.643984,8.581234,0.883652,31.374762,29.213022,1
"273",NA,NA,NA,NA,NA,1
"274",NA,NA,NA,NA,NA,1
"275",7.643984,8.581234,0.883652,31.374762,29.213022,1
"276",NA,NA,NA,NA,NA,1
"277",NA,NA,NA,NA,NA,1
"278",NA,NA,NA,NA,NA,1
"279",NA,NA,NA,NA,NA,1
"280",NA,NA,NA,NA,NA,1
"281",NA,NA,NA,NA,NA,1
"282",NA,NA,NA,NA,NA,1
"283",NA,NA,NA,NA,NA,1
"284",NA,NA,NA,NA,NA,1
"285",NA,NA,NA,NA,NA,1
"286",NA,NA,NA,NA,NA,1
"287",NA,NA,NA,NA,NA,1
"288",NA,NA,NA,NA,NA,1
"289",NA,NA,NA,NA,NA,1
"290",NA,NA,NA,NA,NA,1
"291",NA,NA,NA,NA,NA,1
"292",NA,NA,NA,NA,NA,1
"293",NA,NA,NA,NA,NA,1
"294",NA,NA,NA,NA,NA,1
"295",NA,NA,NA,NA,NA,1
"296",NA,NA,NA,NA,NA,1
"297",NA,NA,NA,NA,NA,1
"298",NA,NA,NA,NA,NA,1
"299",NA,NA,NA,NA,NA,1
"300",NA,NA,NA,NA,NA,1
"301",NA,NA,NA,NA,NA,1
"302",NA,NA,NA,NA,NA,1
"303",NA,NA,NA,NA,NA,1
"304",NA,NA,NA,NA,NA,1
"305",NA,NA,NA,NA,NA,1
"306",NA,NA,NA,NA,NA,1
"307",6.340691,8.645049,0.875503,32.649109,29.231137,1
"308",NA,NA,NA,NA,NA,1
"309",NA,NA,NA,NA,NA,1
"310",NA,NA,NA,NA,NA,1
"311",NA,NA,NA,NA,NA,1
"312",NA,NA,NA,NA,NA,1
"313",6.340691,8.645049,0.875503,32.649109,29.231137,1
"314",6.340691,8.645049,0.875503,32.649109,29.231137,1
"315",NA,NA,NA,NA,NA,1
"316",NA,NA,NA,NA,NA,1
"317",NA,NA,NA,NA,NA,1
"318",NA,NA,NA,NA,NA,1
"319",NA,NA,NA,NA,NA,1
"320",NA,NA,NA,NA,NA,1
"321",NA,NA,NA,NA,NA,1
"322",NA,NA,NA,NA,NA,1
"323",NA,NA,NA,NA,NA,1
"324",NA,NA,NA,NA,NA,1
"325",7.579661,11.496655,0.727569,32.45097,31.454872,1
"326",NA,NA,NA,NA,NA,1
"327",6.340691,8.645049,0.875503,32.649109,29.231137,1
"328",6.340691,8.645049,0.875503,32.649109,29.231137,1
"329",NA,NA,NA,NA,NA,1
"330",NA,NA,NA,NA,NA,1
"331",6.340691,8.645049,0.875503,32.649109,29.231137,1
"332",NA,NA,NA,NA,NA,1
"333",NA,NA,NA,NA,NA,1
"334",NA,NA,NA,NA,NA,1
"335",NA,NA,NA,NA,NA,1
"336",NA,NA,NA,NA,NA,1
"337",NA,NA,NA,NA,NA,1
"338",NA,NA,NA,NA,NA,1
"339",NA,NA,NA,NA,NA,1
"340",NA,NA,NA,NA,NA,1
"341",NA,NA,NA,NA,NA,1
"342",NA,NA,NA,NA,NA,1
"343",NA,NA,NA,NA,NA,1
"344",NA,NA,NA,NA,NA,1
"345",NA,NA,NA,NA,NA,1
"346",NA,NA,NA,NA,NA,1
"347",NA,NA,NA,NA,NA,1
"348",NA,NA,NA,NA,NA,1
"349",NA,NA,NA,NA,NA,1
"350",NA,NA,NA,NA,NA,1
"351",NA,NA,NA,NA,NA,1
"352",NA,NA,NA,NA,NA,1
"353",NA,NA,NA,NA,NA,1
"354",NA,NA,NA,NA,NA,1
"355",NA,NA,NA,NA,NA,1
"356",7.934695,10.390265,0.99892,32.200909,30.440996,1
"357",NA,NA,NA,NA,NA,1
"358",NA,NA,NA,NA,NA,1
"359",NA,NA,NA,NA,NA,1
"360",NA,NA,NA,NA,NA,1
"361",NA,NA,NA,NA,NA,1
"362",NA,NA,NA,NA,NA,1
"363",NA,NA,NA,NA,NA,1
"364",NA,NA,NA,NA,NA,1
"365",6.340691,8.645049,0.875503,32.649109,29.231137,1
"366",NA,NA,NA,NA,NA,1
"367",7.629025,11.265289,0.982404,32.16518,31.45973,1
"368",NA,NA,NA,NA,NA,1
"369",NA,NA,NA,NA,NA,1
"370",NA,NA,NA,NA,NA,1
"371",NA,NA,NA,NA,NA,1
"372",NA,NA,NA,NA,NA,1
"373",NA,NA,NA,NA,NA,1
"374",6.340691,8.645049,0.875503,32.649109,29.231137,1
"375",NA,NA,NA,NA,NA,1
"376",NA,NA,NA,NA,NA,1
"377",NA,NA,NA,NA,NA,1
"378",NA,NA,NA,NA,NA,1
"379",NA,NA,NA,NA,NA,1
"380",NA,NA,NA,NA,NA,1
"381",NA,NA,NA,NA,NA,1
"382",7.828217,11.043438,0.859147,32.16264,31.474333,1
"383",NA,NA,NA,NA,NA,1
"384",NA,NA,NA,NA,NA,1
"385",NA,NA,NA,NA,NA,1
"386",NA,NA,NA,NA,NA,1
"387",NA,NA,NA,NA,NA,1
"388",NA,NA,NA,NA,NA,1
"389",NA,NA,NA,NA,NA,1
"390",NA,NA,NA,NA,NA,1
"391",NA,NA,NA,NA,NA,1
"392",NA,NA,NA,NA,NA,1
"393",NA,NA,NA,NA,NA,1
"394",6.340691,8.645049,0.875503,32.649109,29.231137,1
"395",NA,NA,NA,NA,NA,1
"396",NA,NA,NA,NA,NA,1
"397",NA,NA,NA,NA,NA,1
"398",NA,NA,NA,NA,NA,1
"399",NA,NA,NA,NA,NA,1
"400",NA,NA,NA,NA,NA,1
"401",6.340691,8.645049,0.875503,32.649109,29.231137,1
"402",NA,NA,NA,NA,NA,1
"403",NA,NA,NA,NA,NA,1
"404",NA,NA,NA,NA,NA,1
"405",NA,NA,NA,NA,NA,1
"406",NA,NA,NA,NA,NA,1
"407",NA,NA,NA,NA,NA,1
"408",NA,NA,NA,NA,NA,1
"409",NA,NA,NA,NA,NA,1
"410",NA,NA,NA,NA,NA,1
"411",6.340691,8.645049,0.875503,32.649109,29.231137,1
"412",6.340691,8.645049,0.875503,32.649109,29.231137,1
"413",6.340691,8.645049,0.875503,32.649109,29.231137,1
"414",NA,NA,NA,NA,NA,1
"415",NA,NA,NA,NA,NA,1
"416",NA,NA,NA,NA,NA,1
"417",NA,NA,NA,NA,NA,1
"418",NA,NA,NA,NA,NA,1
"419",NA,NA,NA,NA,NA,1
"420",NA,NA,NA,NA,NA,1
"421",NA,NA,NA,NA,NA,1
"422",NA,NA,NA,NA,NA,1
"423",NA,NA,NA,NA,NA,1
"424",NA,NA,NA,NA,NA,1
"425",NA,NA,NA,NA,NA,1
"426",NA,NA,NA,NA,NA,1
"427",NA,NA,NA,NA,NA,1
"428",NA,NA,NA,NA,NA,1
"429",NA,NA,NA,NA,NA,1
"430",NA,NA,NA,NA,NA,1
"431",NA,NA,NA,NA,NA,1
"432",NA,NA,NA,NA,NA,1
"433",NA,NA,NA,NA,NA,1
"434",NA,NA,NA,NA,NA,1
"435",NA,NA,NA,NA,NA,1
"436",NA,NA,NA,NA,NA,1
"437",6.340691,8.645049,0.875503,32.649109,29.231137,1
"438",NA,NA,NA,NA,NA,1
"439",NA,NA,NA,NA,NA,1
"440",NA,NA,NA,NA,NA,1
"441",NA,NA,NA,NA,NA,1
"442",NA,NA,NA,NA,NA,1
"443",6.340691,8.645049,0.875503,32.649109,29.231137,1
"444",NA,NA,NA,NA,NA,1
"445",NA,NA,NA,NA,NA,1
"446",7.065152,10.790968,0.737411,32.405434,31.342628,1
"447",NA,NA,NA,NA,NA,1
"448",NA,NA,NA,NA,NA,1
"449",NA,NA,NA,NA,NA,1
"450",6.340691,8.645049,0.875503,32.649109,29.231137,1
"451",NA,NA,NA,NA,NA,1
"452",NA,NA,NA,NA,NA,1
"453",NA,NA,NA,NA,NA,1
"454",NA,NA,NA,NA,NA,1
"455",NA,NA,NA,NA,NA,1
"456",NA,NA,NA,NA,NA,1
"457",NA,NA,NA,NA,NA,1
"458",NA,NA,NA,NA,NA,1
"459",NA,NA,NA,NA,NA,1
"460",NA,NA,NA,NA,NA,1
