"","datasetName","decimalLatitude","decimalLongitude","Year","Month","individualCount","vernacularName","pa"
"5758","NEFSC Right Whale Aerial Survey",42.84044,-70.04752,"2013","06","1","Basking shark",1
"5759","NEFSC Right Whale Aerial Survey",41.81013,-68.72806,"2002","04","1","Basking shark",1
"5760","NEFSC Right Whale Aerial Survey",41.49912,-68.83269,"2016","05","1","Basking shark",1
"5761","NYSDEC aerial surveys",40.233221,-71.780485,"2019","09","1","basking shark",1
"5762","NEFSC Aerial Circle-Back Abundance Survey 2004",40.815,-70.09013,"2004","06","3","basking shark",1
"5763","NEFSC Right Whale Aerial Survey",41.62918,-69.19308,"2011","06","1","Basking shark",1
"5764","AMAPPS Northeast Aerial Cruise Summer 2016",41.921063,-69.760925,"2016","08","1","basking shark",1
"5765","NEFSC Right Whale Aerial Survey",44.0662,-67.39981,"2016","06","1","Basking shark",1
"5766","NEFSC Right Whale Aerial Survey",42.81762,-67.7513,"2015","06","1","Basking shark",1
"5767",NA,43.1971645355,-69.5478286743,"2005","07",NA,NA,1
"5768","NEFSC Right Whale Aerial Survey",42.48466,-69.167,"2002","06","1","Basking shark",1
"5769","NEFSC Right Whale Aerial Survey",41.97732,-69.04632,"2016","06","1","Basking shark",1
"5770","NEFSC Right Whale Aerial Survey",43.45615,-68.93382,"2002","09","1","Basking shark",1
"5771","NEFSC Right Whale Aerial Survey",42.84555,-69.20429,"2015","06","1","Basking shark",1
"5772","NEFSC Right Whale Aerial Survey",42.43772,-67.6122,"2011","06","1","Basking shark",1
"5773","NEFSC Right Whale Aerial Survey",41.76384,-68.88312,"2009","07","1","Basking shark",1
"5774","NEFSC Right Whale Aerial Survey",41.42981,-68.86225,"2012","06","1","Basking shark",1
"5775","USGS Patuxent Wildlife Research Center Seabirds Database",40.00848,-70.34428,"2012","06","1","Basking Shark",1
"5776","AMAPPS Northeast Aerial Cruise Summer 2010",44.08675,-68.105362,"2010","08","1","basking shark",1
"5777","NEFSC Right Whale Aerial Survey",42.12683,-69.73345,"2003","06","1","Basking shark",1
"5778","NEFSC Right Whale Aerial Survey",42.97788,-69.59992,"2009","07","1","Basking shark",1
"5779","USGS Patuxent Wildlife Research Center Seabirds Database",43.19803,-69.30761,"2005","07","1","Basking Shark",1
"5780","NEFSC Aerial Circle-Back Abundance Survey 2004",43.303,-68.88522,"2004","06","1","basking shark",1
"5781","NEFSC Right Whale Aerial Survey",41.752,-69.05,"2001","05","1","Basking shark",1
"5782","NEFSC Right Whale Aerial Survey",42.35412,-70.05397,"2003","06","1","Basking shark",1
"5783","NEFSC Right Whale Aerial Survey",42.60792,-69.3972,"2009","07","1","Basking shark",1
"5784","NEFSC Right Whale Aerial Survey",43.43983,-68.40167,"2006","07","1","Basking shark",1
"5785","NEFSC Right Whale Aerial Survey",41.3418,-68.62318,"2006","05","1","Basking shark",1
"5786","NEFSC Right Whale Aerial Survey",41.34417,-68.91367,"2002","06","1","Basking shark",1
"5787","NEFSC Right Whale Aerial Survey",43.09555,-69.56689,"2012","05","1","Basking shark",1
"5788","Digital Aerial Baseline Survey of Marine Wildlife in Support of Offshore Wind Energy - OPA 2016",40.7399,-71.9214,"2017","05","1","basking shark",1
"5789","NEFSC Right Whale Aerial Survey",41.82233,-68.83257,"2014","06","1","Basking shark",1
"5790","NEFSC Right Whale Aerial Survey",42.22322,-69.0184,"2014","06","1","Basking shark",1
"5791","NEFSC Right Whale Aerial Survey",41.14358,-71.24645,"2014","05","1","Basking shark",1
"5792","NEFSC Right Whale Aerial Survey",41.64821,-69.32399,"2015","05","1","Basking shark",1
"5793","AMAPPS Northeast Aerial Cruise Summer 2011",40.437031,-70.289398,"2011","08","1","basking shark",1
"5794","NEFSC Right Whale Aerial Survey",41.71133,-68.51822,"2003","06","1","Basking shark",1
"5795","NEFSC North Atlantic Marine Mammal and Turtle Aerial Abundance Survey 2007",43.82,-67.58,"2007","08","1","basking shark",1
"5796","AMAPPS Northeast Aerial Cruise Spring 2017",43.335812,-70.152222,"2017","06","1","basking shark",1
